datarate 		Distance 		Payload data	 	Nodes  		Net_throughput		Delay		NR
2		95		1472		9		0.165344 		0 		1
2		95		1472		10		0.133929 		0 		1

2		100		1472		2		3.34821 		0 		1
2		100		1472		3		1.4881 		0 		1
2		100		1472		4		0.837054 		0 		1
2		100		1472		5		0.535714 		0 		1
2		100		1472		6		0.372024 		0 		1
2		100		1472		7		0.273324 		0 		1
2		100		1472		8		0.209263 		0 		1
2		100		1472		9		0.165344 		0 		1
2		100		1472		10		0.133929 		0 		1

2		20		1000		2		4.58897 		643.743 		0
2		20		1000		3		3.0589 		1698.58 		0
2		20		1000		4		2.29399 		2271.85 		0
2		20		1000		5		1.83513 		2575.16 		0
2		20		1000		6		1.52909 		24035 		0
2		20		1000		7		1.31042 		4271.78 		0
2		20		1000		8		1.14658 		5379.76 		0
2		20		1000		9		1.01897 		6311.47 		0
2		20		1000		10		0.917022 		7129.33 		0

2		25		1000		2		4.58897 		966.388 		0
2		25		1000		3		3.05885 		1714.73 		0
2		25		1000		4		2.29399 		2489.86 		0
2		25		1000		5		1.83501 		2750.51 		0
2		25		1000		6		1.52901 		24685.9 		0
2		25		1000		7		1.31049 		4416.75 		0
2		25		1000		8		1.14638 		5300.13 		0
2		25		1000		9		1.01914 		20007.2 		0
2		25		1000		10		0.917044 		7552.45 		0

2		30		1000		2		4.58897 		585.782 		0
2		30		1000		3		3.0589 		2109.49 		0
2		30		1000		4		2.29398 		2547.36 		0
2		30		1000		5		1.83504 		3359.56 		0
2		30		1000		6		1.529 		3608.12 		0
2		30		1000		7		1.31044 		4602 		0
2		30		1000		8		1.14642 		5446.05 		0
2		30		1000		9		1.01898 		47726.3 		0
2		30		1000		10		0.916868 		19412.1 		0

2		35		1000		2		4.58897 		589.739 		0
2		35		1000		3		3.05864 		1828.55 		0
2		35		1000		4		2.29398 		2719.76 		0
2		35		1000		5		1.83504 		2894.71 		0
2		35		1000		6		1.52896 		3730.84 		0
2		35		1000		7		1.31047 		4773.31 		0
2		35		1000		8		1.14656 		5539.7 		0
2		35		1000		9		1.01913 		5787.42 		0
2		35		1000		10		0.917119 		19187.7 		0

2		40		1000		2		4.58897 		845.384 		0
2		40		1000		3		3.05889 		1782.04 		0
2		40		1000		4		2.29398 		2626.99 		0
2		40		1000		5		1.835 		3282.02 		0
2		40		1000		6		1.52894 		25064.5 		0
2		40		1000		7		1.31034 		4516.23 		0
2		40		1000		8		1.14653 		5516.9 		0
2		40		1000		9		1.01904 		6258.45 		0
2		40		1000		10		0.916895 		6900.59 		0

2		45		1000		2		4.58897 		900.03 		0
2		45		1000		3		3.05892 		2241.78 		0
2		45		1000		4		2.29399 		2503.45 		0
2		45		1000		5		1.83495 		3179.1 		0
2		45		1000		6		1.52901 		4148.04 		0
2		45		1000		7		1.31043 		4698.69 		0
2		45		1000		8		1.14651 		20915.8 		0
2		45		1000		9		1.01905 		19952.7 		0
2		45		1000		10		0.917062 		19341.5 		0

2		50		1000		2		4.58897 		967.05 		0
2		50		1000		3		3.0589 		1588.4 		0
2		50		1000		4		2.29397 		2541.64 		0
2		50		1000		5		1.835 		28125.1 		0
2		50		1000		6		1.52884 		3784.17 		0
2		50		1000		7		1.31048 		4965.42 		0
2		50		1000		8		1.14656 		5202.36 		0
2		50		1000		9		1.01891 		20727 		0
2		50		1000		10		0.916939 		7406.72 		0

2		55		1000		2		4.58897 		838.696 		0
2		55		1000		3		3.05886 		2025.1 		0
2		55		1000		4		2.29385 		2437.95 		0
2		55		1000		5		1.8349 		3165.92 		0
2		55		1000		6		1.52899 		4055.65 		0
2		55		1000		7		1.31017 		4882.2 		0
2		55		1000		8		1.1464 		5593.05 		0
2		55		1000		9		1.01909 		6466.51 		0
2		55		1000		10		0.916908 		20287.6 		0

2		60		1000		2		4.58897 		901.216 		0
2		60		1000		3		3.0589 		1886.56 		0
2		60		1000		4		2.29383 		2902.39 		0
2		60		1000		5		1.78913 		3287.14 		0
2		60		1000		6		1.49708 		4116.57 		0
2		60		1000		7		1.21677 		5029.02 		0
2		60		1000		8		1.12864 		21540.3 		0
2		60		1000		9		0.990656 		6785.28 		0
2		60		1000		10		0.894074 		83245.5 		0

2		65		1000		2		4.58897 		960.923 		0
2		65		1000		3		3.05888 		1507.85 		0
2		65		1000		4		1.72037 		2358.17 		1
2		65		1000		5		1.46789 		2596.2 		1
2		65		1000		6		1.27418 		3652.37 		1
2		65		1000		7		1.12337 		4309.13 		1
2		65		1000		8		1.00333 		5409.22 		1
2		65		1000		9		0.905579 		6228.7 		1
2		65		1000		10		0.825335 		7447.9 		1

2		70		1000		2		4.58897 		625.944 		0
2		70		1000		3		3.37529 		3690.29 		0
2		70		1000		4		1.2184 		5769.28 		1
2		70		1000		5		1.422 		3708.37 		1
2		70		1000		6		1.15286 		5198.82 		1
2		70		1000		7		1.00626 		5331.19 		1
2		70		1000		8		0.922524 		6206.66 		1
2		70		1000		9		0.825535 		7778.09 		1
2		70		1000		10		0.790902 		8013.24 		1

2		75		1000		2		2.29464 		0 		1
2		75		1000		3		1.40207 		5075.58 		1
2		75		1000		4		0.717013 		3646.08 		1
2		75		1000		5		0.642357 		3467.24 		1
2		75		1000		6		0.625968 		10880.6 		1
2		75		1000		7		0.771709 		7696.44 		1
2		75		1000		8		0.631918 		15375.7 		1
2		75		1000		9		0.519607 		24275.8 		1
2		75		1000		10		0.575491 		46916.4 		1

2		80		1000		2		2.29464 		0 		1
2		80		1000		3		1.01984 		0 		1
2		80		1000		4		0.573661 		0 		1
2		80		1000		5		0.367143 		0 		1
2		80		1000		6		0.25496 		0 		1
2		80		1000		7		0.187318 		0 		1
2		80		1000		8		0.143415 		0 		1
2		80		1000		9		0.113316 		0 		1
2		80		1000		10		0.0917857 		0 		1

2		85		1000		2		2.29464 		0 		1
2		85		1000		3		1.01984 		0 		1
2		85		1000		4		0.573661 		0 		1
2		85		1000		5		0.367143 		0 		1
2		85		1000		6		0.25496 		0 		1
2		85		1000		7		0.187318 		0 		1
2		85		1000		8		0.143415 		0 		1
2		85		1000		9		0.113316 		0 		1
2		85		1000		10		0.0917857 		0 		1

2		90		1000		2		2.29464 		0 		1
2		90		1000		3		1.01984 		0 		1
2		90		1000		4		0.573661 		0 		1
2		90		1000		5		0.367143 		0 		1
2		90		1000		6		0.25496 		0 		1
2		90		1000		7		0.187318 		0 		1
2		90		1000		8		0.143415 		0 		1
2		90		1000		9		0.113316 		0 		1
2		90		1000		10		0.0917857 		0 		1

2		95		1000		2		2.29464 		0 		1
2		95		1000		3		1.01984 		0 		1
2		95		1000		4		0.573661 		0 		1
2		95		1000		5		0.367143 		0 		1
2		95		1000		6		0.25496 		0 		1
2		95		1000		7		0.187318 		0 		1
2		95		1000		8		0.143415 		0 		1
2		95		1000		9		0.113316 		0 		1
2		95		1000		10		0.0917857 		0 		1

2		100		1000		2		2.29464 		0 		1
2		100		1000		3		1.01984 		0 		1
